title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 6.5 - 42 km W of Sola, Vanuatu",6.5,16/8/2023 12:47,7,4,green,0,657,us,114,7.177,25,mww,192.955,-13.8814,167.158,"Sola, Vanuatu",,Vanuatu
"M 6.5 - 43 km S of Intipucá, El Salvador",6.5,19/7/2023 0:22,8,6,yellow,0,775,us,92,0.679,40,mww,69.727,12.814,-88.1265,"Intipucá, El Salvador",,
"M 6.6 - 25 km ESE of Loncopué, Argentina",6.6,17/7/2023 3:05,7,5,green,0,899,us,70,1.634,28,mww,171.371,-38.1911,-70.3731,"Loncopué, Argentina",South America,Argentina
"M 7.2 - 98 km S of Sand Point, Alaska",7.2,16/7/2023 6:48,6,6,green,1,860,us,173,0.907,36,mww,32.571,54.3844,-160.699,"Sand Point, Alaska",,
M 7.3 - Alaska Peninsula,7.3,16/7/2023 6:48,0,5,,1,820,at,79,0.879451,172.8,Mi,21,54.49,-160.796,Alaska Peninsula,,
"M 6.6 - 277 km NNE of Codrington, Antigua and Barbuda",6.6,10/7/2023 20:28,5,4,green,1,802,us,95,2.454,37,mww,10,20.0196,-61.0955,"Codrington, Antigua and Barbuda",,
M 6.9 - Tonga,6.9,2/7/2023 10:27,4,4,green,1,741,us,136,1.179,23,mww,229,-17.853,-174.937,Tonga,,
M 7.2 - south of the Fiji Islands,7.2,15/6/2023 18:06,8,6,green,1,804,us,85,2.59,24,mww,167.404,-22.9824,-177.208,the Fiji Islands,,
M 6.6 - Panama-Colombia border region,6.6,25/5/2023 3:05,6,6,green,1,733,us,50,2.163,129,mww,10,8.8894,-77.1231,Panama-Colombia border region,,Colombia
M 7.1 - southeast of the Loyalty Islands,7.1,20/5/2023 1:51,3,4,green,1,777,us,98,2.812,56,mww,35.981,-23.0622,170.456,the Loyalty Islands,,
M 7.7 - southeast of the Loyalty Islands,7.7,19/5/2023 2:57,5,4,green,1,927,us,277,3.111,15,mww,18.027,-23.2286,170.694,the Loyalty Islands,,
"M 7.6 - 95 km WNW of Hihifo, Tonga",7.6,10/5/2023 16:02,8,6,green,1,907,us,111,3.631,17,mww,210.097,-15.6002,-174.608,"Hihifo, Tonga",,
M 6.6 - south of the Fiji Islands,6.6,28/4/2023 3:13,0,2,green,0,670,us,52,5.123,50,mww,598.467,-25.2657,178.424,the Fiji Islands,,
"M 7.1 - 170 km SSE of Teluk Dalam, Indonesia",7.1,24/4/2023 20:00,9,7,green,0,838,us,70,2.282,58,mww,15.462,-0.781,98.5339,"Teluk Dalam, Indonesia",,Indonesia
"M 7.1 - Kermadec Islands, New Zealand",7.1,24/4/2023 0:41,8,7,green,1,777,us,126,0.708,23,mww,43.063,-30.0249,-177.897,"Kermadec Islands, New Zealand",,
M 6.7 - south of the Fiji Islands,6.7,18/4/2023 4:31,0,3,green,1,691,us,166,4.719,10,mww,595.854,-22.2844,179.391,the Fiji Islands,,
"M 7.0 - 96 km N of Tuban, Indonesia",7,14/4/2023 9:55,5,3,green,0,818,us,131,1.881,31,mww,594.028,-6.0255,112.033,"Tuban, Indonesia",,Indonesia
"M 6.5 - near the east coast of the Kamchatka Peninsula, Russia",6.5,3/4/2023 3:06,7,6,yellow,1,655,us,104,0.266,30,mww,105.631,52.7772,158.484,"the Kamchatka Peninsula, Russia",Asia,Russian Federation (the)
"M 7.0 - New Guinea, Papua New Guinea",7,2/4/2023 18:04,7,7,green,1,781,us,105,6.45,31,mww,62.603,-4.2924,143.155,"New Guinea, Papua New Guinea",Asia,Papua New Guinea
"M 6.5 - 84 km NNW of San Antonio de los Cobres, Argentina",6.5,22/3/2023 16:00,4,4,green,0,656,us,97,1.622,33,mww,209.976,-23.4797,-66.5108,"San Antonio de los Cobres, Argentina",South America,Argentina
"M 6.5 - 40 km SSE of Jurm, Afghanistan",6.5,21/3/2023 16:47,7,5,green,0,1350,us,134,2.53,13,mww,187.589,36.5227,70.9787,"Jurm, Afghanistan",Asia,Afghanistan
M 6.8 - near the coast of Ecuador,6.8,18/3/2023 17:12,9,7,orange,1,1159,us,152,0.709,28,mww,65.842,-2.851,-79.8001,Ecuador,South America,Ecuador
M 7.0 - Kermadec Islands region,7,16/3/2023 0:56,8,5,green,1,756,us,116,1.789,22,mww,22.065,-30.1147,-176.112,Kermadec Islands region,,
"M 6.9 - Kermadec Islands, New Zealand",6.9,4/3/2023 6:41,5,5,green,1,735,us,108,0.784,18,mww,205.681,-29.4748,-178.787,"Kermadec Islands, New Zealand",,
"M 6.5 - 86 km WSW of Port-Olry, Vanuatu",6.5,2/3/2023 18:04,7,6,green,1,653,us,66,5.483,45,mww,10,-15.3597,166.385,"Port-Olry, Vanuatu",,
"M 6.5 - 108 km NW of Kimbe, Papua New Guinea",6.5,1/3/2023 5:36,4,2,green,1,652,us,115,2.739,20,mww,598.925,-4.8138,149.487,"Kimbe, Papua New Guinea",,Papua New Guinea
"M 6.8 - 67 km W of Murghob, Tajikistan",6.8,23/2/2023 0:37,9,7,green,0,737,us,128,1.783,20,mww,20.522,38.0726,73.2077,"Murghob, Tajikistan",Asia,Tajikistan
"M 7.5 - 4 km SSE of Ekinözü, Turkey",7.5,6/2/2023 10:24,9,9,orange,0,1411,us,135,0.85,17,mww,10,38.0235,37.203,"Ekinözü, Turkey",Asia,Turkiye
"M 6.7 - 18 km ESE of Nurdağı, Turkey",6.7,6/2/2023 1:28,9,8,yellow,0,800,us,108,0.218,44,mww,14.497,37.4135,36.8306,"Nurdağı, Turkey",Asia,Turkiye
M 7.8 - Central Turkey,7.8,6/2/2023 1:17,9,9,red,0,2910,us,118,1.919,32,mww,17.925,37.2012,36.9997,Central Turkey,Asia,Turkiye
M 6.8 - ,6.8,20/1/2023 22:09,4,3,green,0,718,us,60,5.129,61,mww,610.671,-26.7209,-63.0394,,South America,Argentina
"M 7.0 - 153 km NW of Tobelo, Indonesia",7,18/1/2023 6:06,3,5,green,1,756,us,130,1.974,17,mwc,28.566,2.7401,127.051,"Tobelo, Indonesia",,Indonesia
"M 7.6 - Pulau Pulau Tanimbar, Indonesia",7.6,9/1/2023 17:47,5,7,green,0,957,us,114,1.575,21,mww,105.249,-7.0852,130.039,"Pulau Pulau Tanimbar, Indonesia",,Indonesia
M 7.0 - Vanuatu,7,8/1/2023 12:32,8,7,green,1,768,us,116,6.096,36,mww,29,-14.9383,166.878,Vanuatu,,Vanuatu
"M 6.8 - 109 km NE of Hihifo, Tonga",6.8,4/12/2022 19:24,5,5,green,1,720,us,152,2.587,26,mww,38,-15.3983,-172.968,"Hihifo, Tonga",,
"M 7.0 - 18 km SW of Malango, Solomon Islands",7,22/11/2022 2:03,8,7,green,1,768,us,117,0.509,17,mww,14,-9.7963,159.596,"Malango, Solomon Islands",Oceania,Solomon Islands
"M 6.9 - 204 km SW of Bengkulu, Indonesia",6.9,18/11/2022 13:37,4,4,green,0,735,us,99,2.229,34,mww,25,-4.9559,100.738,"Bengkulu, Indonesia",,
M 7.0 - ,7,12/11/2022 7:09,3,3,green,1,755,us,147,3.125,18,mww,579,-20.0508,-178.346,,Oceania,Fiji
"M 7.3 - 205 km ESE of Neiafu, Tonga",7.3,11/11/2022 10:48,5,5,green,1,833,us,149,1.865,21,mww,37,-19.2918,-172.129,"Neiafu, Tonga",,
M 6.6 - ,6.6,9/11/2022 10:14,0,2,green,1,670,us,131,4.998,27,mww,624.464,-25.5948,178.278,,,
M 7.0 - south of the Fiji Islands,7,9/11/2022 9:51,4,3,green,1,755,us,142,4.578,26,mwb,660,-26.0442,178.381,the Fiji Islands,,
M 6.8 - south of the Fiji Islands,6.8,9/11/2022 9:38,1,3,green,1,711,us,136,4.678,22,mww,630.379,-25.9678,178.363,the Fiji Islands,,
"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,20/10/2022 11:57,7,6,green,1,797,us,145,1.151,37,mww,20,7.6712,-82.3396,"Boca Chica, Panama",,Panama
"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,22/9/2022 6:16,8,7,yellow,1,1179,us,175,2.137,92,mww,20,18.33,-102.913,"Aguililla, Mexico",North America,Mexico
"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,19/9/2022 18:05,9,8,yellow,1,1799,us,271,1.153,69,mww,26.943,18.3667,-103.252,"Aguililla, Mexico",North America,Mexico
"M 6.9 - 90 km E of Yujing, Taiwan",6.9,18/9/2022 6:44,9,9,yellow,1,887,us,215,0.401,34,mww,10,23.1444,121.307,"Yujing, Taiwan",Asia,Taiwan
"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,17/9/2022 13:41,7,7,green,1,756,us,178,0.43,54,mww,10,23.029,121.348,"Lugu, Taiwan",Asia,Taiwan
"M 7.0 - 209 km SSE of Isangel, Vanuatu",7,14/9/2022 11:04,7,5,green,1,761,us,192,2.977,45,mww,137,-21.2077,170.239,"Isangel, Vanuatu",,
"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,10/9/2022 23:47,8,8,yellow,1,965,us,272,3.158,12,mww,116,-6.2237,146.471,"Kainantu, Papua New Guinea",Oceania,Papua New Guinea
"M 6.6 - 44 km SE of Kangding, China",6.6,5/9/2022 4:52,9,8,orange,0,1043,us,141,8.454,34,mww,12,29.7263,102.279,"Kangding, China",Asia,People's Republic of China
M 6.6 - south of the Kermadec Islands,6.6,14/8/2022 13:44,7,6,green,1,672,us,68,5.293,34,mww,30,-32.6922,-178.959,the Kermadec Islands,,
"M 7.0 - 11 km NE of Bantay, Philippines",7,27/7/2022 0:43,9,8,yellow,1,1351,us,152,5.276,22,mww,33.729,17.5978,120.809,"Bantay, Philippines",Asia,Philippines
"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.5,8/6/2022 0:55,3,2,green,0,653,us,236,1.999,31,mww,622.73,-9.0618,-71.1647,"Tarauacá, Brazil",South America,Brazil
"M 7.2 - 10 km W of Azángaro, Peru",7.2,26/5/2022 12:02,7,5,green,1,876,us,144,2.494,40,mww,236,-14.8628,-70.3081,"Azángaro, Peru",South America,Peru
M 6.9 - ,6.9,19/5/2022 10:13,2,5,green,1,733,us,127,0.371,45,mww,10,-54.1325,159.027,,,
"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,10/5/2022 23:06,6,5,green,1,762,us,162,1.505,30,mww,220,-23.6141,-66.7236,"San Antonio de los Cobres, Argentina",South America,Argentina
"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.6,21/4/2022 7:42,6,5,green,1,762,us,0,0.914,94,mww,27,11.5538,-86.9919,"Masachapa, Nicaragua",,
M 7.0 - southeast of the Loyalty Islands,7,31/3/2022 5:44,6,4,green,1,763,us,0,2.705,26,mww,10,-22.5732,170.349,the Loyalty Islands,,
"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.9,30/3/2022 20:56,6,4,green,1,738,us,0,2.697,42,mww,10,-22.72,170.277,"Tadine, New Caledonia",,
"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,22/3/2022 17:41,8,7,green,1,806,us,0,0.289,32,mww,24,23.3421,121.636,"Hualien City, Taiwan",Asia,Taiwan
"M 7.3 - 57 km ENE of Namie, Japan",7.3,16/3/2022 14:36,9,8,red,1,2397,us,0,2.936,29,mww,41,37.7015,141.587,"Namie, Japan",,
"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,13/3/2022 21:09,9,6,green,0,708,us,0,2.188,43,mww,28,-0.6831,98.6034,"Pariaman, Indonesia",Asia,Indonesia
"M 6.6 - Kermadec Islands, New Zealand",6.6,2/3/2022 12:52,2,7,green,1,670,us,0,0.827,46,mww,24,-30.0528,-177.74,"Kermadec Islands, New Zealand",,
M 6.8 - south of the Fiji Islands,6.8,16/2/2022 20:21,2,3,green,1,712,us,0,5.78,12,mww,535,-23.7852,-179.968,the Fiji Islands,,
"M 6.5 - 49 km NW of Barranca, Peru",6.5,3/2/2022 15:58,8,6,green,0,690,us,0,3.026,22,mww,110,-4.455,-76.9395,"Barranca, Peru",South America,Peru
M 6.5 - Kermadec Islands region,6.5,29/1/2022 2:46,7,4,green,1,651,us,0,1.088,57,mww,8,-29.535,-176.729,Kermadec Islands region,,
"M 6.6 - 80 km SW of Labuan, Indonesia",6.6,14/1/2022 9:05,8,6,green,0,785,us,0,2.418,22,mww,33,-6.9291,105.251,"Labuan, Indonesia",,Indonesia
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,11/1/2022 12:39,0,3,,1,650,at,97,1.61607,108,Mi,37,52.502,-168.08,"Nikolski, Alaska",,
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,11/1/2022 12:39,0,3,,1,650,pt,23,0,208.8,Mi,37,52.502,-168.08,"Nikolski, Alaska",,
"M 6.6 - 53 km SE of Nikolski, Alaska",6.6,11/1/2022 12:39,8,5,green,1,674,us,0,0.507,49,mww,19,52.6252,-168.15,"Nikolski, Alaska",,
